depth_cm;mean_age;sd_age
648;8509.75185;162.4697551
649;8517.78009;163.5228155
650;8525.80833;164.9752224
651;8536.80653;162.5046639
652;8547.80473;160.404123
653;8558.80293;158.688294
654;8569.80113;157.3697611
655;8580.79933;156.458569
656;8591.79753;155.9618576
657;8602.79573;155.8835891
658;8613.79393;156.2243922
659;8624.79213;156.9815377
660;8635.79033;158.1490459
661;8637.23795;155.2133823
662;8638.68557;152.6077016
663;8640.13319;150.3491614
664;8641.58081;148.4536066
665;8643.02843;146.935086
666;8644.47605;145.8053802
667;8645.92367;145.0735727
668;8647.37129;144.7456989
669;8648.81891;144.824502
670;8650.26653;145.3093206
671;8660.62233;143.7901499
672;8670.97813;142.7365902
673;8681.33393;142.1589942
674;8691.68973;142.0631674
675;8702.04553;142.450082
676;8712.40133;143.3158284
677;8722.75713;144.6518091
678;8733.11293;146.4451555
679;8743.46873;148.6793183
680;8753.82453;151.3347755
681;8760.22437;151.0863643
682;8766.62421;151.2398886
683;8773.02405;151.7941288
684;8779.42389;152.7447231
685;8785.82373;154.0843357
686;8792.22357;155.8029327
687;8798.62341;157.8881387
688;8805.02325;160.3256502
689;8811.42309;163.0996722
690;8817.82293;166.1933551
691;8845.14463;165.6793981
692;8872.46633;165.5173729
693;8899.78803;165.7083118
694;8927.10973;166.2509987
695;8954.43143;167.1420074
696;8981.75313;168.3758082
697;9009.07483;169.9449353
698;9036.39653;171.840203
699;9063.71823;174.0509575
700;9091.03993;176.5653486
701;9091.842845;176.1225954
702;9092.64576;176.0030317
703;9093.448675;176.2073156
704;9094.25159;176.7343238
705;9095.054505;177.5811833
706;9095.85742;178.7433479
707;9096.660335;180.2147177
708;9097.46325;181.987793
709;9098.266165;184.0538547
710;9099.06908;186.4031608
711;9110.53068;185.8058993
712;9121.99228;185.5307563
713;9133.45388;185.5791646
714;9144.91548;185.9508715
715;9156.37708;186.6439454
716;9167.83868;187.6548256
717;9179.30028;188.9784122
718;9190.76188;190.6081909
719;9202.22348;192.5363864
720;9213.68508;194.7541353
721;9220.92427;194.0110559
722;9228.16346;193.5844793
723;9235.40265;193.4764989
724;9242.64184;193.6876476
725;9249.88103;194.2168845
726;9257.12022;195.0616206
727;9264.35941;196.2177811
728;9271.5986;197.6799019
729;9278.83779;199.4412541
730;9286.07698;201.4939906
731;9294.22112;200.9848631
732;9302.36526;200.7751192
733;9310.5094;200.8656968
734;9318.65354;201.2561903
735;9326.79768;201.9448599
736;9334.94182;202.9286699
737;9343.08596;204.2033547
